id	name	element	description	imagepath	attack	defense	power
65	Mai	FIRE	Main ally of Princess Azula, proficient at throwing stilettos.	character/Mai.png	7	6	2
66	Roku	FIRE	Avatar from Fire Nation, predecessor of Aang.	character/Roku.png	14	6	5
67	Sozin	FIRE	Instigator of the Hundred Year War.	character/Sozin.png	9	7	3
68	Great Sage	FIRE	Leader of 5 Fire Sages who resided on Crescent Island.	character/Great Sage.png	8	3	1
69	Bumi	EARTH	King of Omashu, childhood friend of Aang.	character/Bumi.png	5	12	4
70	Cabbage Merchant	EARTH	Earth Kingdom businessman and founder of Cabbage Corb.	character/Cabbage Merchant.png	2	8	1
71	The Boulder	EARTH	Professional earthbending westler who participated in the Earth Rumble tournaments.	character/The Boulder.png	9	9	4
72	Haru	EARTH	Skilled teenager earthbender that hides his skill because of Fire Nation attack.	character/Haru.png	6	10	3
73	Jet	EARTH	Teenage leader of Earth Kingdom refugees that called themselves Freedom Fighters.	character/Jet.png	8	5	2
74	Jin Wei	EARTH	Legendary patriarch of the Gan Jin tribe.	character/Jin Wei.png	6	5	1
75	Kyoshi	EARTH	Earth Kingdom Avatar, predecessor of Avatar Roku.	character/Kyoshi.png	5	15	5
76	Toph	EARTH	Earthbending master that discover metalbending.	character/Toph.png	12	8	5
77	Long Feng	EARTH	Grand Secretariat of Ba Sing Se and the leader of the Dai Li.	character/Long Feng.png	4	11	3
78	June	EARTH	Bounty hunter with a shirshu as her pet.	character/June.png	5	8	2
79	Suki	EARTH	Leader of Kyoshi Warrior.	character/Suki.png	8	8	3
80	Pipsqueak	EARTH	Strongest member of Freedom Fighters.	character/Pipsqueak.png	3	10	2
81	Lion Turtle	ENERGY	The largest known animal in the world.	character/Lion Turtle.png	11	9	4
82	Aang Avatar State	ENERGY	Aang in Avatar State.	character/Aang Avatar State.png	8	9	3
83	Korra	ENERGY	Current incarnation of the Avatar and immediate successor of Avatar Aang.	character/Korra.png	8	9	3
84	Raava	ENERGY	Spirit of peace and light.	character/Raava.png	7	10	3
85	Kuvira	ENERGY	Master metalbender who served as a political and military leader of the Earth Kingdom and the Earth Empire between 171 and 174 AG.	character/Kuvira.png	9	8	3
86	Mula	ENERGY	A cat deer that served as Avatar Wan's loyal animal companion.	character/Mula.png	7	9	3
87	Tenzin	ENERGY	The youngest child of Avatar Aang and Katara and the oldest living airbending master.	character/Tenzin.png	8	7	2
88	Lin Beifong	ENERGY	The Chief of Police of the Republic City Police Department.	character/Lin Beifong.png	8	5	2
89	Jinora	ENERGY	The first child and elder daughter of Tenzin and Pema and granddaughter of Katara and the late Avatar Aang.	character/Jinora.png	9	6	2
90	Ryu	ENERGY	An Earth Kingdom citizen who developed airbending abilities following the Harmonic Convergence of 171 AG.	character/Ryu.png	6	9	2
91	Ikki	ENERGY	The second child and elder daughter of Tenzin and Pema and granddaughter of Katara and the late Avatar Aang.	character/Ikki.png	7	8	2
92	Meelo	ENERGY	The third child and the first son of Tenzin and Pema, and grandson of Avatar Aang and Katara.	character/Meelo.png	7	6	1
